ticker,home_exchange,ordinary_share_ratio,reporting_currency,fiscal_year_end,issuer_ir_sources,primary_forms,segment_drivers,benchmark_tickers,fx_proxy,source_priority
BABA,HKEX,8,CNY,03-31,"quarterly_results=https://www.alibabagroup.com/en-US/ir-financial-reports-quarterly-results|sec_hkex_filings=https://www.alibabagroup.com/en-US/ir-filings-sec|annual_general_meetings=https://www.alibabagroup.com/en-US/ir-annual-general-meetings","20-F,6-K","China commerce|Cloud|International commerce|Local services|Logistics|Buybacks|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
JD,HKEX,2,CNY,12-31,"issuer_ir=https://ir.jd.com","20-F,6-K","China retail|Marketplace|Logistics|Buybacks|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
PDD,NASDAQ,4,CNY,12-31,"issuer_ir=https://investor.pddholdings.com","20-F,6-K","Marketplace|Temu/international commerce|Advertising take rate|Sales and marketing|RMB/USD|Policy risk","KWEB|MCHI|CNH",CNH,"20-F,6-K,issuer_ir,presentation"
BIDU,HKEX,8,CNY,12-31,"issuer_ir=https://ir.baidu.com","20-F,6-K","Search advertising|AI cloud|Autonomous driving|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
NTES,HKEX,5,CNY,12-31,"issuer_ir=https://ir.netease.com","20-F,6-K","Online games|Cloud music|Education/other|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
TCOM,HKEX,1,CNY,12-31,"issuer_ir=https://investors.trip.com","20-F,6-K","Travel demand|Accommodation|Transportation|Outbound travel|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
NIO,HKEX,1,CNY,12-31,"issuer_ir=https://ir.nio.com","20-F,6-K","Deliveries|Vehicle margin|Battery swap|Cash runway|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
XPEV,HKEX,2,CNY,12-31,"issuer_ir=https://ir.xiaopeng.com","20-F,6-K","Deliveries|Vehicle margin|Autonomous driving|Cash runway|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
LI,HKEX,2,CNY,12-31,"issuer_ir=https://ir.lixiang.com","20-F,6-K","Deliveries|Vehicle margin|Model cycle|Cash runway|RMB/USD|Policy risk","KWEB|MCHI|HSTECH|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
YUMC,HKEX,1,CNY,12-31,"issuer_ir=https://ir.yumchina.com","20-F,6-K","Same-store sales|Traffic|Ticket|Restaurant margin|Unit growth|RMB/USD","KWEB|MCHI|CNH",CNH,"20-F,6-K,issuer_ir,presentation,hkex_document"
