ticker,sector_template,key_metrics,peers,provenance,effective_date,reason
BABA,China internet and commerce ADR,"GMV|customer management revenue|cloud revenue|segment EBITA|buybacks","JD:China retail and logistics peer|PDD:Marketplace and international commerce peer|BIDU:AI cloud and ads peer|NTES:China online services peer|TCOM:China travel demand peer|TCEHY:HK-listed China internet platform","CSV peer universe v1",2026-07-12,"Peers selected for China internet operating read-through and ADR/HK benchmark context."
JD,China retail and logistics ADR,"Revenue|gross margin|logistics margin|GMV|FCF","BABA:China commerce platform|PDD:Marketplace competition|ZTO:Logistics peer|BEKE:China consumer services peer|YUMC:China consumption peer","CSV peer universe v1",2026-07-12,"Peers selected for China retail logistics and consumption context."
PDD,China marketplace ADR,"Revenue|take rate|sales and marketing|international losses|FCF","BABA:China commerce platform|JD:Retail and logistics peer|BIDU:China internet ads peer|TME:Consumer internet monetization peer|VIPS:Discount commerce peer","CSV peer universe v1",2026-07-12,"Peers selected for marketplace monetization international growth and China consumption."
BIDU,China AI cloud and advertising ADR,"Search ad revenue|AI cloud revenue|operating margin|R&D|FCF","BABA:Cloud and commerce peer|TME:Online media monetization peer|NTES:Online services peer|PDD:Ad monetization peer|GDS:China cloud infrastructure peer","CSV peer universe v1",2026-07-12,"Peers selected for China ads cloud and AI demand."
NTES,China games and online services ADR,"Game revenue|gross margin|operating income|R&D|FCF","TME:Online entertainment monetization peer|BILI:Online entertainment peer|BIDU:Online services peer|PDD:China internet growth peer|TCOM:Consumer services peer","CSV peer universe v1",2026-07-12,"Peers selected for online entertainment monetization and China consumer internet."
TCOM,China travel ADR,"Accommodation revenue|transportation revenue|outbound travel|operating margin|FCF","YUMC:China reopening consumption peer|HTHT:Hotel demand peer|BABA:China consumer platform|JD:China retail consumption peer|MCHI:China equity benchmark","CSV peer universe v1",2026-07-12,"Peers selected for China travel and consumption read-through."
NIO,China EV ADR,"Deliveries|vehicle margin|ASP|cash|R&D|capex","XPEV:China EV peer|LI:China EV peer|TSLA:Global EV benchmark|BYDDF:China EV leader|RIVN:EV peer","CSV peer universe v1",2026-07-12,"Peers selected for EV deliveries margins and liquidity."
XPEV,China EV ADR,"Deliveries|vehicle margin|ASP|cash|R&D|capex","NIO:China EV peer|LI:China EV peer|TSLA:Global EV benchmark|BYDDF:China EV leader|RIVN:EV peer","CSV peer universe v1",2026-07-12,"Peers selected for EV deliveries margins and liquidity."
LI,China EV ADR,"Deliveries|vehicle margin|ASP|cash|R&D|capex","NIO:China EV peer|XPEV:China EV peer|TSLA:Global EV benchmark|BYDDF:China EV leader|RIVN:EV peer","CSV peer universe v1",2026-07-12,"Peers selected for EV deliveries margins and liquidity."
YUMC,China consumer ADR,"Same-store sales|traffic|restaurant margin|unit growth|FCF","BABA:China consumption platform|JD:China retail peer|TCOM:China travel and consumption peer|SBUX:Restaurant comparable|MCD:Global restaurant peer","CSV peer universe v1",2026-07-12,"Peers selected for China consumption restaurant and travel cycle."
TSM,Global semiconductor ADR,"Revenue|gross margin|capex|utilization|AI demand","NVDA:AI accelerator demand|ASML:Semicap equipment peer|AMD:Semiconductor peer|UMC:Foundry peer|SOXX:Semiconductor ETF","CSV peer universe v1",2026-07-12,"Peers selected for semiconductor cycle and AI capex read-through."
INFY,India IT services ADR,"Revenue growth|large deal wins|margin|attrition|FCF","WIT:India IT services peer|ACN:Global IT services benchmark|CTSH:IT services peer|HDB:India macro proxy","CSV peer universe v1",2026-07-12,"Peers selected for IT services demand and India/global enterprise spend."
