ticker,sic_min,sic_max,description_contains,industry_label,business_model,key_kpis,leading_indicators,valuation_methods,macro_sensitivities,normal_catalysts,peer_tickers,source
,7370,7379,software|cloud|data processing,Software / cloud platform,"Software platform business where revenue quality depends on growth retention margins and cash conversion.","ARR/RPO|revenue growth|net retention|gross margin|operating margin|FCF margin","cloud spend|AI adoption|enterprise IT budgets|seat expansion","Forward P/E|EV/revenue|EV/EBITDA|FCF yield","rates|USD FX|enterprise budgets|AI infrastructure cost","earnings|RPO update|AI product update|margin guide",,seed_playbook_v1
,3570,3679,semiconductor|computer|electronic components,Semiconductors and hardware,"Hardware and semiconductor business tied to product cycles supply demand and customer capex.","segment revenue|gross margin|inventory|backlog|capex|customer concentration","hyperscaler capex|memory pricing|channel inventory|lead times|export controls","Forward P/E|EV/revenue|EV/EBITDA|cycle-normal margin","electronics demand|China restrictions|USD FX|rates","earnings|product launch|inventory correction|customer capex update",,seed_playbook_v1
,5200,5999,retail|stores|e-commerce,Consumer retail and e-commerce,"Retail or e-commerce business where traffic ticket inventory margin and fulfillment drive earnings.","same-store sales|traffic|ticket|gross margin|inventory|advertising revenue","retail sales|consumer spending|promotions|shipping costs|inventory","Forward P/E|EV/EBITDA|FCF yield","employment|wages|inflation|consumer credit","earnings|holiday update|inventory commentary|guidance",,seed_playbook_v1
BABA,,,,China internet commerce and cloud ADR,"China commerce cloud local services logistics and international digital commerce platform.","GMV|customer management revenue|cloud revenue|take rate|segment EBITA|buybacks|RMB/USD","China retail sales|merchant activity|cloud demand|RMB|policy change|ADR/HK liquidity","Forward P/E|sum of parts|FCF yield|EV/revenue by segment","China consumption|RMB/USD|platform regulation|US-China risk|rates","6-K results|buyback update|segment margin|regulatory change","JD|PDD|BIDU|NTES|TCOM|TCEHY",seed_playbook_v1
JD,,,,China retail and logistics ADR,"China retail marketplace and logistics platform with first-party retail margin and fulfillment economics.","revenue|gross margin|logistics margin|GMV|active customers|FCF","China retail sales|merchant activity|logistics volume|RMB|policy","Forward P/E|EV/revenue|FCF yield","China consumption|RMB/USD|competition|policy","6-K results|logistics margin|promotion cycle|buyback update","BABA|PDD|ZTO|YUMC|BEKE",seed_playbook_v1
PDD,,,,China marketplace and international commerce ADR,"Marketplace and international commerce platform where take rate marketing intensity and international losses drive earnings.","revenue|take rate|sales and marketing|international commerce|operating margin|FCF","merchant activity|Temu growth|ad load|China consumption|RMB","Forward P/E|EV/revenue|FCF yield","China consumption|RMB/USD|trade policy|competition","earnings|international margin update|marketing intensity update","BABA|JD|BIDU|TME|VIPS",seed_playbook_v1
BIDU,,,,China search AI and cloud ADR,"Search advertising AI cloud autonomous driving and content ecosystem business.","search ad revenue|AI cloud revenue|operating margin|R&D|FCF|traffic acquisition cost","China ad market|AI cloud demand|autonomous driving milestones|RMB","Forward P/E|sum of parts|EV/revenue","China ad cycle|RMB/USD|AI capex|policy","earnings|AI cloud update|ad market commentary|regulatory update","BABA|TME|NTES|PDD|GDS",seed_playbook_v1
NIO|XPEV|LI,,,,China EV ADR,"China electric vehicle business where deliveries ASP vehicle margin cash runway and model cycle drive value.","deliveries|ASP|vehicle margin|cash|R&D|capex|inventory","China auto sales|EV subsidies|battery prices|pricing actions|dealer inventory","EV/revenue|gross-margin bridge|cash runway|sum of parts","rates|consumer credit|RMB/USD|battery materials|policy subsidies","monthly deliveries|earnings|pricing action|capital raise","TSLA|BYDDF|RIVN|LCID|GM",seed_playbook_v1
YUMC,,,,China restaurant consumer ADR,"China restaurant platform driven by same-store sales unit growth margins and local consumption.","same-store sales|traffic|ticket|restaurant margin|unit growth|FCF","China retail sales|travel activity|food inflation|wages|consumer confidence","Forward P/E|EV/EBITDA|FCF yield","China consumption|wages|food costs|RMB/USD","earnings|same-store sales update|unit growth guide","SBUX|MCD|BABA|JD|TCOM",seed_playbook_v1
TSM,,,,Taiwan foundry ADR,"Global semiconductor foundry tied to AI smartphone and high performance computing demand.","revenue|gross margin|capex|utilization|advanced node mix|customer concentration","AI server demand|smartphone cycle|semiconductor inventory|Taiwan exports","Forward P/E|EV/EBITDA|FCF yield","USD/TWD|electronics cycle|geopolitical risk|rates","monthly sales|earnings|capex guide|customer demand update","NVDA|ASML|AMD|UMC|SOXX",seed_playbook_v1
INFY|WIT,,,,India IT services ADR,"IT services business driven by enterprise budgets large deal wins utilization margins and rupee costs.","constant-currency revenue|large deals|operating margin|utilization|attrition|FCF","enterprise IT budgets|India wage inflation|USD/INR|deal pipeline","Forward P/E|EV/EBITDA|FCF yield","USD/INR|enterprise budgets|rates|wage inflation","earnings|large-deal update|margin guide","ACN|CTSH|WIT|INFY",seed_playbook_v1
PBR|VALE,,,,LatAm commodity ADR,"Commodity producer where realized price volumes capex cost and government policy drive FCF.","production|realized price|lifting cost|capex|debt|dividends","oil price|iron ore|BRL/USD|China demand|policy","EV/EBITDA|FCF yield|NAV|dividend yield","commodity prices|BRL/USD|China demand|politics","production report|capital return|commodity shock","XOM|CVX|RIO|BHP|SHEL",seed_playbook_v1
